date,county_name,state,fips_county,cases,deaths,population,cases_per_100k,deaths_per_100k
2020-11-02,Autauga,Alabama,01001,2186,31,55869,3912.72,55.49
2020-11-02,Baldwin,Alabama,01003,6985,71,223234,3129,31.81
2020-11-02,Barbour,Alabama,01005,1065,9,24686,4314.19,36.46
2020-11-02,Bibb,Alabama,01007,883,15,22394,3943.02,66.98
2020-11-02,Blount,Alabama,01009,2108,25,57826,3645.42,43.23
2020-11-02,Bullock,Alabama,01011,655,17,10101,6484.51,168.3
2020-11-02,Butler,Alabama,01013,1026,41,19448,5275.61,210.82
2020-11-02,Calhoun,Alabama,01015,4925,65,113605,4335.2,57.22
2020-11-02,Chambers,Alabama,01017,1397,47,33254,4201,141.34
2020-11-02,Cherokee,Alabama,01019,791,15,26196,3019.54,57.26
2020-11-02,Chilton,Alabama,01021,1958,33,44428,4407.13,74.28
2020-11-02,Choctaw,Alabama,01023,395,12,12589,3137.66,95.32
2020-11-02,Clarke,Alabama,01025,1408,17,23622,5960.55,71.97
2020-11-02,Clay,Alabama,01027,779,12,13235,5885.91,90.67
2020-11-02,Cleburne,Alabama,01029,591,9,14910,3963.78,60.36
2020-11-02,Coffee,Alabama,01031,1885,11,52342,3601.31,21.02
2020-11-02,Colbert,Alabama,01033,2313,32,55241,4187.11,57.93
2020-11-02,Conecuh,Alabama,01035,578,13,12067,4789.92,107.73
2020-11-02,Coosa,Alabama,01037,225,3,10663,2110.1,28.13
2020-11-02,Covington,Alabama,01039,1894,30,37049,5112.15,80.97
2020-11-02,Crenshaw,Alabama,01041,624,30,13772,4530.93,217.83
2020-11-02,Cullman,Alabama,01043,2866,25,83768,3421.35,29.84
2020-11-02,Dale,Alabama,01045,1945,52,49172,3955.5,105.75
2020-11-02,Dallas,Alabama,01047,1909,27,37196,5132.27,72.59
2020-11-02,DeKalb,Alabama,01049,3703,30,71513,5178.08,41.95
2020-11-02,Elmore,Alabama,01051,3325,59,81209,4094.37,72.65
2020-11-02,Escambia,Alabama,01053,1768,31,36633,4826.25,84.62
2020-11-02,Etowah,Alabama,01055,4563,54,102268,4461.81,52.8
2020-11-02,Fayette,Alabama,01057,610,14,16302,3741.87,85.88
2020-11-02,Franklin,Alabama,01059,2189,32,31362,6979.78,102.03
2020-11-02,Geneva,Alabama,01061,984,7,26271,3745.57,26.65
2020-11-02,Greene,Alabama,01063,351,17,8111,4327.46,209.59
2020-11-02,Hale,Alabama,01065,798,30,14651,5446.73,204.76
2020-11-02,Henry,Alabama,01067,752,6,17205,4370.82,34.87
2020-11-02,Houston,Alabama,01069,4341,35,105882,4099.85,33.06
2020-11-02,Jackson,Alabama,01071,2359,19,51626,4569.4,36.8
2020-11-02,Jefferson,Alabama,01073,24597,388,658573,3734.89,58.92
2020-11-02,Lamar,Alabama,01075,535,6,13805,3875.41,43.46
2020-11-02,Lauderdale,Alabama,01077,2765,43,92729,2981.81,46.37
2020-11-02,Lawrence,Alabama,01079,946,33,32924,2873.28,100.23
2020-11-02,Lee,Alabama,01081,6736,65,164542,4093.79,39.5
2020-11-02,Limestone,Alabama,01083,3141,34,98915,3175.45,34.37
2020-11-02,Lowndes,Alabama,01085,731,29,9726,7515.94,298.17
2020-11-02,Macon,Alabama,01087,569,21,18068,3149.21,116.23
2020-11-02,Madison,Alabama,01089,9852,101,372909,2641.93,27.08
2020-11-02,Marengo,Alabama,01091,1071,23,18863,5677.78,121.93
2020-11-02,Marion,Alabama,01093,1134,31,29709,3817.03,104.35
2020-11-02,Marshall,Alabama,01095,4593,52,96774,4746.11,53.73
2020-11-02,Mobile,Alabama,01097,17342,322,413210,4196.9,77.93
2020-11-02,Monroe,Alabama,01099,668,10,20733,3221.92,48.23
2020-11-02,Montgomery,Alabama,01101,10760,210,226486,4750.85,92.72
2020-11-02,Morgan,Alabama,01103,4567,36,119679,3816.04,30.08
2020-11-02,Perry,Alabama,01105,606,6,8923,6791.44,67.24
2020-11-02,Pickens,Alabama,01107,932,18,19930,4676.37,90.32
2020-11-02,Pike,Alabama,01109,1393,14,33114,4206.68,42.28
2020-11-02,Randolph,Alabama,01111,870,16,22722,3828.89,70.42
2020-11-02,Russell,Alabama,01113,2008,3,57961,3464.4,5.18
2020-11-02,Shelby,Alabama,01117,7826,70,217702,3594.82,32.15
2020-11-02,St. Clair,Alabama,01115,3254,43,89512,3635.27,48.04
2020-11-02,Sumter,Alabama,01119,488,21,12427,3926.93,168.99
2020-11-02,Talladega,Alabama,01121,2818,38,79978,3523.47,47.51
2020-11-02,Tallapoosa,Alabama,01123,1409,87,40367,3490.47,215.52
2020-11-02,Tuscaloosa,Alabama,01125,10824,145,209355,5170.17,69.26
2020-11-02,Walker,Alabama,01127,2985,95,63521,4699.23,149.56
2020-11-02,Washington,Alabama,01129,776,12,16326,4753.15,73.5
2020-11-02,Wilcox,Alabama,01131,577,12,10373,5562.52,115.68
2020-11-02,Winston,Alabama,01133,985,13,23629,4168.61,55.02
2020-11-02,Aleutians East Borough,Alaska,02013,16,0,3337,479.47,0
2020-11-02,Aleutians West Census Area,Alaska,02016,100,0,5634,1774.94,0
2020-11-02,Anchorage,Alaska,02020,8683,50,288000,3014.93,17.36
2020-11-02,Bethel Census Area,Alaska,02050,498,1,18386,2708.58,5.44
2020-11-02,Bristol Bay Borough,Alaska,02060,76,0,836,9090.91,0
2020-11-02,Denali Borough,Alaska,02068,31,0,2097,1478.3,0
2020-11-02,Dillingham Census Area,Alaska,02070,61,0,4916,1240.85,0
2020-11-02,Fairbanks North Star Borough,Alaska,02090,2340,16,96849,2416.13,16.52
2020-11-02,Haines Borough,Alaska,02100,13,0,2530,513.83,0
2020-11-02,Juneau City and Borough,Alaska,02110,583,2,31974,1823.36,6.26
2020-11-02,Kenai Peninsula Borough,Alaska,02122,1128,2,58708,1921.37,3.41
2020-11-02,Ketchikan Gateway Borough,Alaska,02130,91,0,13901,654.63,0
2020-11-02,Kodiak Island Borough,Alaska,02150,124,0,12998,953.99,0
2020-11-02,Kusilvak Census Area,Alaska,02158,259,0,8314,3115.23,0
2020-11-02,Lake and Peninsula Borough,Alaska,02164,5,0,1592,314.07,0
2020-11-02,Matanuska-Susitna Borough,Alaska,02170,1577,3,108317,1455.91,2.77
2020-11-02,Nome Census Area,Alaska,02180,141,0,10004,1409.44,0
2020-11-02,North Slope Borough,Alaska,02185,276,0,9832,2807.16,0
2020-11-02,Northwest Arctic Borough,Alaska,02188,261,0,7621,3424.75,0
2020-11-02,Petersburg Borough,Alaska,02195,18,0,3266,551.13,0
2020-11-02,Prince of Wales-Hyder Census Area,Alaska,02198,34,1,6203,548.12,16.12
2020-11-02,Sitka City and Borough,Alaska,02220,81,0,8493,953.73,0
2020-11-02,Skagway Municipality,Alaska,02230,8,0,1183,676.25,0
2020-11-02,Southeast Fairbanks Census Area,Alaska,02240,89,1,6893,1291.16,14.51
2020-11-02,Unknown,Alaska,,138,0,,,
2020-11-02,Valdez-Cordova Census Area,Alaska,02261,176,1,9202,1912.63,10.87
2020-11-02,Wrangell City and Borough,Alaska,02275,19,0,2502,759.39,0
2020-11-02,Yukon-Koyukuk Census Area,Alaska,02290,122,2,5230,2332.7,38.24
2020-11-02,Apache,Arizona,04001,4006,171,71887,5572.63,237.87
2020-11-02,Cochise,Arizona,04003,2260,75,125922,1794.76,59.56
2020-11-02,Coconino,Arizona,04005,5429,149,143476,3783.91,103.85
2020-11-02,Gila,Arizona,04007,1992,72,54018,3687.66,133.29
2020-11-02,Graham,Arizona,04009,1283,29,38837,3303.55,74.67
2020-11-02,Greenlee,Arizona,04011,104,2,9498,1094.97,21.06
2020-11-02,La Paz,Arizona,04012,628,17,21108,2975.18,80.54
2020-11-02,Maricopa,Arizona,04013,160264,3609,4485414,3573,80.46
2020-11-02,Mohave,Arizona,04015,4453,233,212181,2098.68,109.81
2020-11-02,Navajo,Arizona,04017,6545,241,110924,5900.44,217.27
2020-11-02,Pima,Arizona,04019,28914,642,1047279,2760.87,61.3
2020-11-02,Pinal,Arizona,04021,12210,228,462789,2638.35,49.27
2020-11-02,Santa Cruz,Arizona,04023,3066,65,46498,6593.83,139.79
2020-11-02,Yavapai,Arizona,04025,3098,91,235099,1317.74,38.71
