fips_county,unem_before,unem_after,points_change_unem_rate
01001,2.4,5.2,2.8000000000000003
01003,2.3,5.5,3.2
01005,3.2,8.6,5.3999999999999995
01007,2.6,6.6,3.9999999999999996
01009,2.3,4,1.7000000000000002
01011,3.4,6.5,3.1
01013,3.2,9.1,5.8999999999999995
01015,3,7.5,4.5
01017,2.5,6.6,4.1
01019,2.4,4,1.6
01021,2.3,5.1,2.8
01023,4.4,7.1,2.6999999999999993
01025,5.3,10.7,5.3999999999999995
01027,2.4,4,1.6
01029,2.5,4.1,1.5999999999999996
01031,2.5,4.5,2
01033,3.2,6.6,3.3999999999999995
01035,3.5,8.1,4.6
01037,2.5,5.2,2.7
01039,2.8,4.7,1.9000000000000004
01041,2.2,5.2,3
01043,2.2,3.8,1.5999999999999996
01045,2.6,5.4,2.8000000000000003
01047,5.2,11.7,6.499999999999999
01049,2.3,4.1,1.7999999999999998
01051,2.3,5.2,2.9000000000000004
01053,3.1,6.5,3.4
01055,2.9,7.6,4.699999999999999
01057,2.8,4.6,1.7999999999999998
01059,2.3,3.9,1.6
01061,2.4,4.3,1.9
01063,4.9,11.9,7
01065,3.4,10.3,6.9
01067,2.9,5.2,2.3000000000000003
01069,2.5,6.3,3.8
01071,2.8,4.7,1.9000000000000004
01073,2.5,7.3,4.8
01075,2.6,4.7,2.1
01077,2.8,5.3,2.5
01079,2.6,5.1,2.4999999999999996
01081,2.3,5.4,3.1000000000000005
01083,2.2,4.3,2.0999999999999996
01085,5.1,15.9,10.8
01087,3.6,10.7,7.1
01089,2.1,5.2,3.1
01091,3.1,6.9,3.8000000000000003
01093,3,4.9,1.9000000000000004
01095,2.1,3.9,1.7999999999999998
01097,3.2,9.3,6.1000000000000005
01099,4.2,8.5,4.3
01101,2.7,9.7,6.999999999999999
01103,2.2,4.8,2.5999999999999996
01105,4.7,11.6,6.8999999999999995
01107,2.9,6.7,3.8000000000000003
01109,2.9,5.3,2.4
01111,2.6,3.9,1.2999999999999998
01113,2.5,5.2,2.7
01115,2.3,5.1,2.8
01117,1.9,4,2.1
01119,3.8,7.2,3.4000000000000004
01121,3,6.8,3.8
01123,2.5,6.6,4.1
01125,2.3,6.8,4.5
01127,2.8,5.9,3.1000000000000005
01129,3.9,8.7,4.799999999999999
01131,6.2,17,10.8
01133,2.7,4.7,2
02013,2,2.1,0.10000000000000009
02016,2.9,2.4,-0.5
02020,4.9,6.5,1.5999999999999996
02050,12.9,10.4,-2.5
02060,5.1,6.5,1.4000000000000004
02068,4.1,6.5,2.4000000000000004
02070,7.8,6.9,-0.8999999999999995
02090,4.8,5.1,0.2999999999999998
02100,5,10.6,5.6
02105,6.4,9.7,3.299999999999999
02110,3.9,5.8,1.9
02122,5.9,7.6,1.6999999999999993
02130,4.9,7.7,2.8
02150,4.4,4.5,0.09999999999999964
02158,15.8,13.2,-2.6000000000000014
02164,7.9,6.4,-1.5
02170,6.1,6.8,0.7000000000000002
02180,10.2,8.9,-1.299999999999999
02185,7.2,5.5,-1.7000000000000002
02188,13.6,10.2,-3.4000000000000004
02195,6.5,5.5,-1
02198,8.1,7.8,-0.2999999999999998
02220,3.6,5.2,1.6
02230,3,12.8,9.8
02240,7.2,5.4,-1.7999999999999998
02261,5.4,5.3,-0.10000000000000053
02275,6,6.7,0.7000000000000002
02282,6.2,6.7,0.5
02290,11.8,8.8,-3
04001,9.3,11.2,1.8999999999999986
04003,5.5,5.7,0.20000000000000018
